kategori,rincian_masalah,status,tanggal_masuk,tanggal_selesai,id_laporan,skpd,response_time
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-01,2020-11-01,QL001397412,KELURAHAN KEBON KACANG,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-11-28,2020-11-28,JK2011280001,KELURAHAN CEMPAKA PUTIH TIMUR,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,QL001403708,KELURAHAN KEBON KELAPA,0
GANGGUAN KETENTERAMAN DAN KETERTIBAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,QL001403720,KELURAHAN GAMBIR,0
PERIZINAN BIDANG LINGKUNGAN HIDUP,TIDAK DISEBUTKAN,COMPLETE,2020-12-20,2020-12-20,JK2012170150,KELURAHAN KRAMAT,0
HUBUNGAN KEPEGAWAIAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403847,KELURAHAN KEBON MELATI,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403835,KELURAHAN KWITANG,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403834,KELURAHAN KWITANG,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403806,KELURAHAN KARTINI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403805,KELURAHAN GUNUNG SAHARI UTARA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-19,2020-12-19,QL001403803,KELURAHAN GUNUNG SAHARI UTARA,0
PARKIR LIAR,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-19,TW000059338,KOTA ADMINISTRASI JAKARTA PUSAT,1
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-18,JK2012180128,KELURAHAN RAWASARI,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-18,JK2012180127,KELURAHAN RAWASARI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-18,QL001403719,KELURAHAN UTAN PANJANG,0
HUBUNGAN PEKERJA-PENGUSAHA,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-18,JK2012180054,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-18,2020-12-18,JK2012180051,KELURAHAN MANGGA DUA SELATAN,0
TAMAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403652,KELURAHAN GALUR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403651,KELURAHAN GALUR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403650,KELURAHAN GALUR,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403644,KELURAHAN GAMBIR,0
TATA RUANG DAN BANGUNAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403639,KELURAHAN CIKINI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403628,KELURAHAN GUNUNG SAHARI UTARA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403627,KELURAHAN GUNUNG SAHARI UTARA,0
KELUHAN PELAYANAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,TW000059249,KELURAHAN CEMPAKA PUTIH BARAT,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403480,KELURAHAN BUNGUR,0
JARINGAN LISTRIK,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,TW000059233,KELURAHAN PETOJO SELATAN,0
JARINGAN LISTRIK,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,JK2012170011,KELURAHAN PETOJO SELATAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403570,KELURAHAN GAMBIR,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-17,2020-12-17,QL001403569,KELURAHAN PASAR BARU,0
PENCEMARAN LINGKUNGAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-17,JK2012160206,KELURAHAN KARET TENGSIN,1
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403513,KELURAHAN GAMBIR,0
JARINGAN AIR BERSIH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403506,KELURAHAN GAMBIR,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,JK2012160022,KELURAHAN CIKINI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,JK2012160020,KELURAHAN KARTINI,0
PEKERJA PENANGANAN PRASARANA DAN SARANA UMUM KELURAHAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,JK2012160019,KELURAHAN RAWASARI,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403443,KELURAHAN JOHAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403442,KELURAHAN PASAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403441,KELURAHAN PASAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-16,2020-12-16,QL001403440,KELURAHAN PASAR BARU,0
JARINGAN LISTRIK,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150190,KELURAHAN PETOJO SELATAN,0
PUNGUTAN LIAR,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150160,KELURAHAN KEBON KELAPA,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012140107,KELURAHAN KRAMAT,0
PENANGANAN BANJIR,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,QL001403360,KELURAHAN KWITANG,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,QL001403352,KELURAHAN GUNUNG SAHARI SELATAN,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,QL001403204,KELURAHAN GONDANGDIA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150008,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150007,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150005,KELURAHAN KEBON KELAPA,0
FASILITAS SOSIAL/FASILITAS UMUM (FASOS/FASUM),TIDAK DISEBUTKAN,COMPLETE,2020-12-15,2020-12-15,JK2012150004,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,QL001403242,KELURAHAN GAMBIR,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,QL001403239,KELURAHAN KRAMAT,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140106,KELURAHAN PEGANGSAAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,QL001402641,KELURAHAN DURI PULO,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,QL001402782,KELURAHAN KEMAYORAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140035,KELURAHAN CEMPAKA PUTIH BARAT,0
JALAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140025,KELURAHAN GUNUNG SAHARI SELATAN,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140024,KELURAHAN PASAR BARU,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140021,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140020,KELURAHAN KEBON KELAPA,0
SAMPAH,TIDAK DISEBUTKAN,COMPLETE,2020-12-14,2020-12-14,JK2012140019,KELURAHAN KEBON KELAPA,0
JEMBATAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403171,KELURAHAN PEGANGSAAN,0
TAMAN,TIDAK DISEBUTKAN,COMPLETE,2020-12-13,2020-12-13,QL001403149,KELURAHAN DURI PULO,0
